n,n_quarters,r2_avg,fin_neg_prop_coef,fin_neg_prop_t,log_size_coef,log_size_t,log_bm_coef,log_bm_t,log_turnover_coef,log_turnover_t,ff_alpha_pre_coef,ff_alpha_pre_t,nasdaq_coef,nasdaq_t,io_coef,io_t,coef,t,panel,config,ff48,cell,sentiment_var,fin_neg_tfidf_full_coef,fin_neg_tfidf_full_t,fin_neg_prop_mda_coef,fin_neg_prop_mda_t,fin_neg_tfidf_mda_coef,fin_neg_tfidf_mda_t
48246,60,0.024251706163575512,,,0.029191402200141797,0.7998810345286965,0.12857189202780836,1.5937482149965545,-0.32655081765381144,-2.4229237458341197,0.12918173829003946,1.0363407695609022,-0.2802619538632374,-1.9006242303744088,1.1651692779065892,2.562510131247901,-0.20605718864777386,-3.379573110666194,default,G_NW_lag_3,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.20605718864777386,-3.379573110666194,,
48246,60,0.02510061842293817,,,0.04127240064248619,1.1304778233975357,0.12328194335987938,1.5480669410924879,-0.32067092090856186,-2.414777122097788,0.12247239857880045,0.9748599677691788,-0.2681319567211974,-1.8625599828852342,1.145011877590481,2.5373722369754357,-0.013775264182048084,-3.522078727387899,default,G_NW_lag_3,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013775264182048084,-3.522078727387899
50792,60,0.017632803030208023,-0.2847364589632006,-3.724080602575053,0.0426845179522115,1.1612393146127304,0.2262611469741453,2.212889973306861,-0.3933692399266785,-2.3634461829508466,0.18854035471791775,1.5440053533102347,-0.4228638997999947,-2.4240038798149977,1.183925286971863,2.624051762069851,-0.2847364589632006,-3.724080602575053,default,G_NW_lag_3,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.01893729384707088,,,0.053004061535736995,1.4232857964303534,0.2182908814249087,2.1441615442440662,-0.3848415806724267,-2.3740938823826725,0.18026756814936565,1.4630621493637035,-0.41630878641157326,-2.431098063747284,1.1554524337005991,2.606270751449513,-0.00873426893042273,-3.2057852826825717,default,G_NW_lag_3,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.00873426893042273,-3.2057852826825717,,,,
48246,60,0.018354044537212552,,,0.0340982297105486,0.9191755757721677,0.22833669756818264,2.317283505397185,-0.41147833056753674,-2.432539472830916,0.18843417720899092,1.5190897495117173,-0.4357020948125232,-2.4821333689510015,1.288367139110283,2.83056245134813,-0.21337203524930018,-3.589313554983921,default,G_NW_lag_3,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.21337203524930018,-3.589313554983921,,
48246,60,0.01881128387754052,,,0.04769237336639222,1.2746201466237324,0.22084685429952688,2.2442019698069444,-0.4048218185905698,-2.4323472476026575,0.1830832599872076,1.4544753792839729,-0.4214909340576583,-2.483675094985179,1.2509474017518591,2.7932508689778754,-0.013573659471370467,-3.324325307610296,default,G_NW_lag_3,False,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013573659471370467,-3.324325307610296
50792,60,0.023412591961653,-0.28168599379408216,-2.6396198970551032,0.029048703555072206,0.7251857495470105,0.12443258768943408,1.676650955036151,-0.2978474955392698,-2.182137315201132,0.13686387860346655,1.1550664416543432,-0.2764395864866596,-1.6246835095821923,1.0760637201872043,2.245363033104579,-0.28168599379408216,-2.6396198970551032,default,H_NW_lag_6,True,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.02597966414550778,,,0.037689034518484404,0.9256744444059227,0.1186336251399214,1.5971384575632528,-0.29662138303018176,-2.244399519019086,0.13099518320437464,1.105432221729799,-0.2705995715158199,-1.6269906842453812,1.0653193942438164,2.256546050333991,-0.008352411654953264,-2.275533824485703,default,H_NW_lag_6,True,IV_col4_tfidf,fin_neg_tfidf_full,-0.008352411654953264,-2.275533824485703,,,,
48246,60,0.024251706163575512,,,0.029191402200141797,0.741713158760233,0.12857189202780836,1.6998393489548673,-0.32655081765381144,-2.244392493429358,0.12918173829003946,1.0945238969056925,-0.2802619538632374,-1.6365047443613951,1.1651692779065892,2.4037875725976687,-0.20605718864777386,-3.169552582253864,default,H_NW_lag_6,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.20605718864777386,-3.169552582253864,,
48246,60,0.02510061842293817,,,0.04127240064248619,1.0484152584285125,0.12328194335987938,1.6441210367310435,-0.32067092090856186,-2.241265229462795,0.12247239857880045,1.0342600224112262,-0.2681319567211974,-1.609504287542825,1.145011877590481,2.380220137335751,-0.013775264182048084,-3.139085352115339,default,H_NW_lag_6,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.013775264182048084,-3.139085352115339
50792,60,0.017632803030208023,-0.2847364589632006,-3.2565461979625994,0.0426845179522115,1.012476515813506,0.2262611469741453,2.334294983740872,-0.3933692399266785,-2.1620139372307507,0.18854035471791775,1.6730996908757982,-0.4228638997999947,-2.1027716002955867,1.183925286971863,2.474801487998809,-0.2847364589632006,-3.2565461979625994,default,H_NW_lag_6,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.01893729384707088,,,0.053004061535736995,1.24033407717326,0.2182908814249087,2.2638673646553844,-0.3848415806724267,-2.172629621380141,0.18026756814936565,1.5827471273524008,-0.41630878641157326,-2.109372476128556,1.1554524337005991,2.463183141556147,-0.00873426893042273,-2.849013406305833,default,H_NW_lag_6,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.00873426893042273,-2.849013406305833,,,,
48246,60,0.018354044537212552,,,0.0340982297105486,0.8119744701793865,0.22833669756818264,2.4093494955596486,-0.41147833056753674,-2.211214701792622,0.18843417720899092,1.6947106452904213,-0.4357020948125232,-2.1391470396080807,1.288367139110283,2.6664498513290407,-0.21337203524930018,-3.3271911218267274,default,H_NW_lag_6,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.21337203524930018,-3.3271911218267274,,
